GivenName,Surname,StreetAddress,City,ZipCode,CCType,CCNumber,CVV2,CCExpires,Birthday
Veronika,Balla,Bem rakpart 17.,Pap,4631,Visa,4916085694366705,079,8/2015,1/18/1949
Tünde,Majoros,Rákóczi út 14.,Mindszentkálla,8282,Visa,4929660602220361,332,3/2019,3/28/1947
Evelin,Forgács,Teréz krt. 47.,Tabajd,8088,Visa,4485750731781221,722,6/2018,12/24/1941
Ond,Szôts,Nagytétényi út 52.,Vámszôlôhegy,7016,MasterCard,5217100875753549,453,10/2018,7/1/1982
Zsombor,Wagner,Csabai kapu 11.,Budapest,1051,MasterCard,5321411372070888,100,4/2016,8/6/1955
Zámor,Gerô,Izabella u. 56.,Bazsi,8352,MasterCard,5566486822709859,214,5/2016,5/5/1945
Elizabet,Szôlôssy,Rákóczi út 96.,Balatonalmádi,8220,Visa,4929210225251631,085,7/2016,11/7/1939
Berta,Sebôk,Apor Péter u. 14.,Rákócziújfalu,5084,Visa,4556345233675114,700,1/2016,5/19/1944
Patony,Erdélyi,Nagytétényi út 92.,Bokros,6648,Visa,4556891394905949,501,8/2016,8/29/1931
Roza,Kôváry,Agip u. 25.,Drávaszerdahely,7847,MasterCard,5177718122562625,059,1/2017,3/21/1985
Zekö,Szigety,Baross tér 53.,Szuhakálló,3731,MasterCard,5459227984744502,967,12/2019,4/15/1953
Szabolcs,Szél,Szilágyi Erzsébet fasor 44.,Igal,7275,Visa,4716499089056031,839,8/2015,5/29/1945
Ninacska,Mátyás,Budaörsi út 26.,Piricse,4375,Visa,4916172198011563,608,5/2016,5/22/1942
Uzor,Donka,Bem rkp. 95.,Tolcsva,3934,Visa,4916822337243168,162,8/2018,8/3/1938
Zekö,Szakács,Nyár utca 73.,Belsôsárd,8978,MasterCard,5488813205834589,458,12/2017,6/3/1954
Gizi,Sultisz,Veres Pálné u. 71.,Tiszaörs,5362,Visa,4929083608635302,249,4/2017,9/18/1930
Rykus,Györfy,Teréz krt. 64.,Pusztavám,8066,MasterCard,5410793845902710,494,6/2017,9/23/1978
Vanessza,Illés,Belgrád rkp. 35.,Vasszilvágy,9747,MasterCard,5205669275730608,528,9/2018,10/15/1974
Sandor,Mészáros,Victor Hugo u. 21.,Nemesládony,9663,MasterCard,5115209381595717,514,12/2016,12/17/1970
Pál,Pataky,Victor Hugo u. 56.,Bögöte,9675,MasterCard,5262451758842329,394,1/2019,5/6/1990
Uzor,Smid,Hegyalja út 88.,Nagyrozvágy,3965,Visa,4556857468199370,317,10/2015,4/22/1943
Levente,Thuri,Apor Péter u. 68.,Karcag,5300,Visa,4485758258926459,647,2/2015,3/13/1969
Anita,Béres,Árpád fejedelem útja 38.,Budapest,1171,Visa,4716478347297710,016,3/2019,3/27/1962
Márk,Forgáts,Erzsébet tér 13.,Halmajugra,3273,Visa,4539639187545709,890,3/2017,2/18/1985
Bence,Gulyás,Belgrád rkp. 77.,Kisunyom,9772,MasterCard,5481916726580271,128,11/2016,12/4/1984
Dóra,Sinku,Szilágyi Erzsébet fasor 29.,Kishajmás,7391,Visa,4539909695305619,154,5/2016,4/9/1948
Dóra,Lázár,Király u. 41.,Pusztaszenttornya,5908,MasterCard,5343564356164491,070,9/2016,6/22/1993
Zajzon,Lengyel,Nyár utca 29.,Hernyék,8957,MasterCard,5324996957160572,941,3/2015,2/2/1964
Zsa Zsa,Kádár,Nyár utca 71.,Felsôbagod,8992,MasterCard,5455066988440012,570,10/2017,11/13/1958
Nándor,Mezei,Király u. 87.,Ballószög,6035,Visa,4929617718696223,874,9/2018,4/24/1952
Szilveszter,Vince,Rákóczi út 34.,Nemesgulács,8284,MasterCard,5160464417939249,462,2/2015,6/1/1973
Vince,Erdélyi,Wesselényi u. 8.,Dunaremete,9235,Visa,4556829054761970,456,3/2019,10/15/1953
Borbála,Mester,Nyár utca 76.,Magyarföld,8973,Visa,4485901085262488,276,5/2016,3/12/1976
Solt,Bertha,Király u. 69.,Izsák,6070,MasterCard,5566084609416101,205,3/2018,10/21/1930
Oszkar,Szatmári,Nyár utca 7.,Lenti,8960,MasterCard,5484839311894955,174,11/2017,8/1/1992
Bora,Kelemen,Rákóczi út 97.,Diszel,8297,Visa,4716961281664664,047,10/2018,2/17/1986
Becse,Katona,Király u. 30.,Bánkut,5752,Visa,4556920481233186,301,7/2015,4/15/1937
Nusa,Illés,Apáczai Csere János u. 59.,Mizserfa,3147,MasterCard,5149876015496593,533,9/2018,12/17/1929
Szescx,Mezei,Nyár utca 18.,Márokföld,8976,Visa,4539479964847600,791,4/2018,7/9/1958
Nándor,Balla,Hegyalja út 44.,Debrecen,4034,Visa,4916864732551506,199,12/2017,11/19/1985
Kerecsen,Gaál,Teréz krt. 28.,Várpalota,8104,MasterCard,5360366086390901,977,6/2015,11/15/1935
Ugod,Szepessy,Tas vezér u. 21.,Lengyel,7184,Visa,4929468837150050,165,10/2017,2/20/1981
Patrik,Gyenes,Budaörsi út 85.,Kisfástanya,4447,MasterCard,5404996827362260,328,4/2016,7/11/1928
Júlia,Kárpáthy,Síp utca 96.,Szentmártonkáta,2254,MasterCard,5564156098585273,473,3/2019,1/17/1978
Sebo,Sebôk,Eötvös út 82.,Somogyjád,7443,Visa,4532646193727657,723,9/2019,6/18/1955
Timur,Gáll,Dózsa György út 16.,Mezôkeresztes,3441,MasterCard,5220061940817682,126,11/2016,2/11/1989
Ompoly,Csikós,Csavargyár u. 20.,Porrogszentkirály,8858,Visa,4532916519974733,243,4/2019,3/7/1965
Aranka,Markó,Hegyalja út 26.,Füzérradvány,3993,MasterCard,5175348534896908,227,8/2016,1/6/1938
Blanka,Virágh,Budaörsi út 85.,Buj,4483,MasterCard,5299432904598269,573,11/2018,1/6/1965
Margo,Kultsár,Tompa u. 57.,Esztár,4124,MasterCard,5433890494620024,055,11/2016,10/4/1961
Malcsi,Harsányi,Csabai kapu 3.,Budapest,1039,Visa,4916578675880652,142,4/2016,4/20/1989
Ármin,Antal,Piroska u. 84.,Hásságy,7745,Visa,4556266512046811,883,10/2016,5/14/1940
Radomér,Schmidt,Eötvös út 39.,Homokszentgyörgy,7537,MasterCard,5511533232127358,654,8/2017,6/29/1982
Erssike,Berki,Piroska u. 42.,Kistapolca,7823,Visa,4916088427349451,096,10/2015,3/8/1983
Kristof,Forgách,Király u. 29.,Szabadszállás,6080,Visa,4539580308747834,876,4/2015,9/7/1993
Diána,Baranyi,Budaörsi út 95.,Nyírkáta,4333,Visa,4716752699620095,051,4/2016,9/25/1973
Olivér,Szôllôssy,Szilágyi Erzsébet fasor 30.,Csibrák,7225,Visa,4716776019578709,764,3/2017,3/24/1960
Pongor,Ferenczi,Hegedûs Gyula utca 59.,Felsôpetény,2611,MasterCard,5363654458965831,654,5/2019,4/8/1936
Nóra,Salai,Nyár utca 41.,Lendvadedes,8978,MasterCard,5124565079410033,981,6/2019,10/31/1952
Jolan,Komáromy,Hegedûs Gyula utca 42.,Pusztaberki,2658,MasterCard,5326624141835465,400,5/2017,7/7/1966
Frici,Máté,Agip u. 83.,Rádfalva,7846,Visa,4556531763982794,590,5/2017,8/19/1946
Myricoorish,Földesi,Nagytétényi út 58.,Maroslele,6921,Visa,4532681778317020,526,10/2015,7/4/1968
Dominik,Horváth,Síp utca 76.,Veresegyház,2112,Visa,4485961400270020,692,8/2016,9/9/1961
Kelemen,Szakáts,Veres Pálné u. 78.,Medgyesbodzás,5663,MasterCard,5584789656036176,538,4/2019,1/21/1983
Zoárd,Sultis,Szilágyi Erzsébet fasor 30.,Godisa,7391,MasterCard,5292425972883263,953,5/2015,8/3/1960
Vencel,Danko,Szent Gellért tér 80.,Megyaszó,3718,Visa,4485014995551113,633,9/2016,4/29/1977
Jucika,Madarász,Hegedûs Gyula utca 3.,Alsópetény,2617,Visa,4532361081426251,812,12/2017,12/6/1970
Margo,Ferenczi,Izabella u. 61.,Felsôpáhok,8380,MasterCard,5449948526526858,475,10/2017,4/19/1930
Vitéz,Turi,Kis Diófa u. 56.,Viszák,9932,MasterCard,5394963410684585,181,11/2019,5/27/1988
Luca,Galambos,Bécsi utca 8.,Maglóca,9169,MasterCard,5321085598072090,778,2/2016,1/11/1994
Piusz,Baranyai,Bem rakpart 42.,Levelek,4555,Visa,4916695779069402,947,8/2017,7/23/1988
Malika,Gyarmaty,Izabella u. 35.,Ajka,8400,Visa,4929095302150875,200,2/2017,7/5/1933
Varsàny,Biró,Baross tér 74.,Büttös,3821,Visa,4539504204793940,918,1/2017,11/15/1945
Treszka,Schmit,Apor Péter u. 1.,Tiszaderzs,5243,Visa,4716116266220616,200,10/2018,5/4/1980
Mercédesz,Szöllössy,Kárpát u. 43.,Apácatorna,8477,Visa,4532639458679960,040,9/2018,8/31/1974
Viva,Kultsár,Tompa u. 31.,Hajdúhadház,4242,Visa,4716212424419719,449,8/2015,9/26/1994
Benci,Salai,Agip u. 47.,Gerde,7952,Visa,4929819754946013,342,1/2016,12/16/1941
Markus,Csikós,Kárpát u. 26.,Nagyacsád,8521,Visa,4916087699375038,097,3/2018,8/30/1963
Andor,Vajda,Apáczai Csere János u. 49.,Kisbágyon,3046,MasterCard,5541310817992355,533,11/2018,3/27/1971
Zsofia,Szigeti,Nagytétényi út 89.,Szeged,6710,MasterCard,5178545436724057,013,5/2019,2/24/1967
Zobor,Pusztay,Budaörsi út 68.,Ramoscaháza,4536,Visa,4916236951580351,302,9/2017,1/10/1989
Nándor,Pintér,Csabai kapu 95.,Budapest,1106,MasterCard,5288534218225829,219,7/2019,7/26/1958
Zoárd,Hegedüs,Apáczai Csere János u. 28.,Jobbágyi,3063,Visa,4916974333923978,861,9/2018,10/13/1960
Dorka,Vida,Erzsébet krt. 64.,Leányvár,2518,Visa,4485988408595439,549,12/2017,7/10/1975
Kaplony,Vincze,Erzsébet krt. 69.,Kulcs,2458,Visa,4532085190214189,837,9/2018,3/15/1961
Csepel,Herrmann,Bem rkp. 55.,Tokaj,3910,MasterCard,5539438728828303,840,10/2015,6/29/1939
Sarika,Markó,Síp utca 44.,Pilisvörösvár,2085,MasterCard,5193650398976934,778,9/2017,9/6/1951
Zizi,Halász,Wesselényi u. 62.,Répceszemere,9375,Visa,4485801652277945,981,8/2018,3/5/1980
Karole,Nagy,Bem rakpart 39.,Hermánszeg,4735,MasterCard,5315729557963991,340,9/2015,10/9/1943
Tünde,Szigety,Csabai kapu 28.,Budapest,1033,MasterCard,5271997528575010,346,4/2017,3/19/1950
Markos,Mezey,Izabella u. 49.,Bakonypéterd,8436,Visa,4485137683501213,245,6/2017,10/10/1930
Kíra,Vincze,Tompa u. 23.,Hosszúhát,4162,Visa,4929944588749316,096,11/2015,1/28/1969
Soma,Hegedûs,Bem rakpart 8.,Nagyvarsány,4812,Visa,4556024171830664,362,3/2019,3/31/1945
Marót,Boros,Szilágyi Erzsébet fasor 1.,Szágy,7383,MasterCard,5298778505840232,875,9/2017,11/9/1980
Gazsi,Kulcsár,Tas vezér u. 33.,Nagykónyi,7092,Visa,4929488139608886,206,2/2019,4/16/1968
Virag,Pásztor,Wesselényi u. 41.,Fertôszéplak,9436,MasterCard,5546040728672961,867,5/2015,9/6/1961
Szervác,Lovász,Tas vezér u. 24.,Kölesd,7052,Visa,4929357721934192,170,9/2015,10/6/1964
Pellegrin,Fejes,Munkácsy Mihály út 27.,Csém,2949,Visa,4539913034083135,735,9/2017,2/6/1940
Natália,Hoffman,Nánási út 41.,Vése,8721,Visa,4916356011128031,569,9/2018,1/31/1938
Tivadar,Kovách,Bem rkp. 64.,Zsujta,3897,Visa,4716476531008943,796,12/2017,4/17/1956
Kelemen,Vég,Szent Gellért tér 19.,Hejôbába,3593,Visa,4916768814174089,625,10/2019,6/13/1955
Denes,Pethö,Nyár utca 27.,Lenti,8960,MasterCard,5110147732534099,402,10/2016,8/9/1964
Márk,Kozma,Piroska u. 28.,Peterd,7766,MasterCard,5427832789347762,195,4/2017,4/7/1994
Nikolett,Gelencsér,Tas vezér u. 29.,Hôgyész,7191,MasterCard,5284123586922300,404,9/2016,4/1/1990
Liza,Gyarmathy,Teréz krt. 49.,Kisdobsza,7985,Visa,4539723434352612,621,7/2018,2/29/1956
Gyurka,Szathmáry,Eötvös út 25.,Patalom,7463,Visa,4532490298725294,419,11/2017,12/28/1935
Zorán,Bányai,Munkácsy Mihály út 9.,Petôfibánya,3023,MasterCard,5442353395001314,780,8/2016,3/26/1985
Szemere,Fehér,Munkácsy Mihály út 6.,Gyermely,2821,Visa,4716943623361613,040,4/2016,1/13/1931
Alisz,Kállai,Teréz krt. 39.,Csókakô,8074,MasterCard,5289497823114011,907,10/2019,1/13/1949
Zsuska,Laczkó,Budaörsi út 96.,Parszab,4475,MasterCard,5554039431180774,451,6/2016,3/27/1973
Dacso,Sörös,Apáczai Csere János u. 29.,Ipolytarnóc,3138,MasterCard,5312289077313337,910,6/2018,12/4/1939
Ramóna,Német,Munkácsy Mihály út 90.,Csatka,2888,Visa,4539077096392618,154,10/2015,4/23/1988
Sólyom,Földesy,Csavargyár u. 10.,Lakhegy,8913,MasterCard,5213149645128049,643,10/2016,7/8/1958
Peterke,Wagner,Bécsi utca 77.,Nagybajcs,9063,Visa,4716472515438164,350,11/2017,1/7/1936
Pisti,Dénes,Teréz krt. 36.,Szabadbattyán,8151,Visa,4929183947975383,670,5/2019,12/4/1929
Rebeka,Borbély,Bem rkp. 14.,Tarcal,3915,MasterCard,5461276607130595,408,4/2015,12/4/1959
Csenger,Csikós,Eötvös út 38.,Homokszentgyörgy,7537,Visa,4485248010959477,023,1/2017,11/26/1931
Barbara,Mülner,Bem rakpart 30.,Gemzse,4567,MasterCard,5378849591623833,806,12/2015,3/12/1978
Firenze,György,Hegedûs Gyula utca 17.,Bernecebaráti,2639,MasterCard,5443094281613148,515,3/2016,1/27/1977
Dorka,Gyôrffy,Dózsa György út 55.,Répáshuta,3559,MasterCard,5301914854171599,517,5/2017,11/2/1957
Erzsi,Sánta,Hegedûs Gyula utca 29.,Verôce,2621,MasterCard,5482215136520780,229,3/2019,4/11/1961
Károly,Rózsa,Kárpát u. 36.,Dáka,8592,MasterCard,5463734500656387,598,8/2015,8/21/1970
Sandor,Várady,Piroska u. 30.,Pócsa,7756,Visa,4556379754805289,854,1/2016,3/10/1983
Marika,Kôváry,Apor Péter u. 72.,Jászkisér,5137,MasterCard,5308840856418741,767,2/2015,4/24/1981
Andrea,Kardos,Csavargyár u. 57.,Misefa,8935,Visa,4716946981615595,919,8/2016,7/26/1944
Erika,Ács,Nagytétényi út 1.,Makó,6903,MasterCard,5428294879785907,825,10/2015,8/4/1982
Koppány,Pusztai,Nánási út 57.,Böhönye,8719,Visa,4716807990180817,140,7/2018,6/14/1935
Laura,Szász,Baross tér 28.,Ormosbánya,3743,MasterCard,5369848217834346,137,1/2015,10/5/1956
Alexa,Torma,Belgrád rkp. 82.,Zsennye,9766,Visa,4916028746073770,754,10/2015,7/11/1929
Ernesztina,Forgáts,Victor Hugo u. 6.,Zanat,9700,Visa,4539054539823574,672,10/2017,4/22/1941
Vincze,Galambos,Izabella u. 59.,Csingervölgy,8403,Visa,4929963053039532,692,10/2018,10/31/1957
Szonja,Gyôrfy,Tas vezér u. 70.,Pusztahencse,7038,Visa,4716303611567947,946,1/2017,8/30/1981
Dacso,Csizmazia,Kossuth Lajos u. 84.,Kovácsszénája,7678,MasterCard,5201639683633623,686,5/2016,1/22/1978
Martuska,Seres,Belgrád rkp. 10.,Rábakovácsi,9757,Visa,4556471512912117,444,11/2016,7/9/1940
Fanni,Gere,Baross tér 42.,Szôgliget,3762,Visa,4929626349080871,567,2/2016,3/3/1971
Ema,Mezey,Nánási út 8.,Somogyegres,8660,Visa,4532887606295151,441,7/2015,4/27/1978
Lilla,Máté,Victor Hugo u. 3.,Külsôvat,9532,Visa,4532225219832930,991,5/2019,3/4/1931
Poldi,Földesy,Bem rakpart 23.,Vásárosnamény,4803,Visa,4556158348505518,789,9/2016,7/29/1986
Orkény,Gölöncsér,Veres Pálné u. 29.,Kunszentmárton,5440,Visa,4532188771574003,953,3/2015,12/28/1935
Dániel,Szatmáry,Rákóczi út 54.,Tihanyrév,8239,Visa,4916535290845452,752,3/2018,12/21/1940
Tamara,Szántó,Nagytétényi út 21.,Fábiánsebestyén,6625,Visa,4916006944855180,498,9/2016,4/24/1956
Pellegrin,Barna,Dózsa György út 85.,Miskolc,3517,MasterCard,5101192437955331,473,3/2017,1/29/1950
Vilmos,Somogyi,Síp utca 58.,Tápiósáp,2242,MasterCard,5582292409978085,534,9/2018,11/18/1931
Antal,Balla,Erzsébet tér 66.,Hevesvezekény,3383,Visa,4716322852546097,838,1/2017,3/21/1967
Bianka,Ujváry,Kárpát u. 72.,Nemesgörzsöny,8522,Visa,4716973041006128,839,2/2015,11/19/1940
Aurelia,Petö,Árpád fejedelem útja 1.,Budapest,1173,Visa,4716538701626091,005,7/2018,8/9/1946
Noel,Kultsár,Tas vezér u. 70.,Sárpilis,7145,MasterCard,5331299606158704,186,11/2016,11/4/1955
György,Pálffy,Budaörsi út 59.,Berkesz,4521,Visa,4539752153833783,303,11/2015,2/2/1936
Vicuska,Makai,Kárpát u. 71.,Takácsi,8541,MasterCard,5440163842456660,090,8/2019,4/22/1930
Ambrus,Borbás,Nagytétényi út 70.,Magyarcsanád,6932,Visa,4485218762036832,141,10/2018,3/8/1952
Jenci,Kontz,Király u. 10.,Tiszaalpár,6067,Visa,4485546341911616,796,1/2015,4/26/1984
Adél,Borsos,Tompa u. 85.,Érpatak,4245,Visa,4716278699684774,321,6/2015,12/8/1975
Eszter,Totth,Victor Hugo u. 98.,Pinnye,9481,MasterCard,5366830229937914,462,5/2019,5/17/1980
Attila,Lakatos,Árpád fejedelem útja 19.,Parkváros,2035,MasterCard,5131028373396292,485,3/2018,6/6/1992
Rykus,Németh,Erzsébet krt. 86.,Esztergom-kertváros,2509,Visa,4556867294441201,691,2/2015,12/7/1962
Rozalia,Mészáros,Tas vezér u. 79.,Tengelic,7054,MasterCard,5349942166428567,969,2/2015,10/15/1981
Barnabás,Hermann,Agip u. 23.,Drávaszerdahely,7847,Visa,4532355784722776,417,2/2015,9/5/1980
Ákos,Lendvai,Wesselényi u. 52.,Röjtökmuzsaj,9451,MasterCard,5155041065049906,651,8/2017,3/14/1967
Pázmán,Szántó,Kálmán Imre u. 8.,Zalabér,8798,Visa,4556885507345696,533,12/2017,1/18/1989
Izabella,Gáll,Teréz krt. 99.,Moha,8042,MasterCard,5238799916922073,267,1/2018,9/7/1944
Istvan,Vincze,Apor Péter u. 88.,Örményes,5222,Visa,4556428455778202,575,12/2017,1/12/1931
Kevin,Szegedy,Belgrád rkp. 2.,Rádockölked,9784,Visa,4532912476019851,848,4/2019,12/23/1943
Mihály,Forgáts,Bem rkp. 5.,Erdôbénye,3932,MasterCard,5343961844547743,847,12/2016,12/1/1939
Regõ,Sebeök,Kis Diófa u. 28.,Szentgotthárd,9970,MasterCard,5483226077499255,178,1/2019,8/9/1991
Erik,Lengyel,Rákóczi út 30.,Fûzfôgyártelep,8184,Visa,4916552445753473,392,8/2015,7/3/1941
Erzebet,Bence,Rákóczi út 55.,Csopak,8229,MasterCard,5278369590380039,853,12/2015,3/5/1967
Lõrinc,Berec,Apáczai Csere János u. 3.,Sóshartyán,3131,MasterCard,5175119546428620,669,10/2016,10/6/1958
János,Nemes,Király u. 13.,Mezôgyán,5732,MasterCard,5268051225782662,542,10/2015,4/7/1944
Nikolett,Orbán,Bem rkp. 16.,Encs,3854,MasterCard,5278043799459080,205,3/2018,12/28/1970
Szevér,Gyarmathy,Agip u. 6.,Kastélyosdombó,7977,Visa,4485983968378425,647,6/2019,7/27/1961
Adelbert,Herczeg,Hegedûs Gyula utca 35.,Nyársapát,2712,Visa,4485853782455578,427,5/2018,5/4/1980
Andrea,Sós,Csavargyár u. 83.,Pózva,8900,MasterCard,5278183659177974,295,1/2019,7/24/1989
Endre,Erôs,Hegedûs Gyula utca 79.,Szente,2655,Visa,4556833508397290,397,3/2015,8/27/1972
Várkony,Komáromy,Szent Gellért tér 42.,Alsódobsza,3717,MasterCard,5131059323528775,786,6/2015,11/26/1950
Poldi,Gál,Árpád fejedelem útja 41.,Kisoroszi,2024,MasterCard,5140631194697977,858,9/2016,7/20/1962
Pál,Maier,Bem rakpart 2.,Tivadar,4921,MasterCard,5514000904059738,921,3/2015,8/5/1934
Nikoletta,Mezey,Árpád fejedelem útja 88.,Budapest,1193,Visa,4916789043297434,473,9/2015,9/23/1965
Barnabás,Bogdán,Erzsébet krt. 92.,Sári,2371,MasterCard,5365728879736282,109,6/2017,3/22/1980
Alisz,Komáromy,Belgrád rkp. 20.,Hegyhátszentpéter,9821,Visa,4929319100574122,887,3/2015,2/23/1994
Marcsa,Szatmáry,Nagytétényi út 92.,Pitvaros,6914,Visa,4539306554030489,205,1/2016,4/17/1975
Zsuzsanna,Földessi,Nánási út 67.,Fonyód,8644,MasterCard,5545393003207057,086,5/2016,2/26/1932
Medárd,Csorba,Piroska u. 36.,Babarc,7757,Visa,4556460813955339,850,10/2018,9/26/1954
Tihamér,Seress,Teréz krt. 43.,Soponya,8123,Visa,4929611359139015,040,9/2017,2/20/1968
Pongor,Sipos,Rákóczi út 63.,Kisdörgicse,8244,MasterCard,5423910341328878,207,12/2018,3/21/1959
Marcsa,Csizmadia,Budaörsi út 65.,Szabolcsbáka,4547,Visa,4532108575668751,600,6/2019,5/15/1952
Viktoria,Müller,Apor Péter u. 72.,Tiszatenyô,5082,Visa,4532589406801309,306,5/2017,9/5/1992
Borbála,Oláh,Tas vezér u. 22.,Madocsa,7026,Visa,4539073641992416,739,7/2017,6/27/1974
Patrícia,Szölôsy,Nagytétényi út 49.,Szeged,6757,Visa,4716806997862187,923,2/2015,12/7/1950
Ormos,Keresztes,Hegyalja út 38.,Haláp,4078,MasterCard,5550537038706382,743,5/2016,3/12/1940
Tamara,Bányay,Izabella u. 21.,Bánd,8443,MasterCard,5255015643132417,213,3/2015,5/25/1954
Antal,Major,Eötvös út 16.,Magyaratád,7463,Visa,4539638258684488,180,10/2018,1/7/1983
Gabor,Györfy,Dayka Gábor u. 92.,Nagytôke,6612,Visa,4716328653725236,493,4/2016,12/10/1957
Duci,Bernát,Hegyalja út 71.,Debrecen,4079,MasterCard,5533469916220322,057,10/2016,3/12/1981
Odon,Sultész,Kárpát u. 3.,Várkeszô,8523,Visa,4929347046350430,989,7/2019,1/17/1989
Fanni,Kárpáthy,Bécsi utca 13.,Kóny,9144,Visa,4716776518969631,026,6/2019,5/11/1972
Tas,Majoros,Victor Hugo u. 41.,Nagysimonyi,9561,Visa,4556158279565309,436,5/2017,5/14/1982
Levente,Lendvai,Tompa u. 96.,Dobaipuszta,4138,MasterCard,5291241966980317,988,7/2018,9/2/1932
Ernesztina,Györffi,Király u. 9.,Fülöpháza,6042,Visa,4539399959029438,975,6/2018,2/23/1972
Zsuzsanna,Simon,Árpád fejedelem útja 94.,Budapest,1139,Visa,4532030423029939,866,10/2015,3/29/1959
Vanessza,Orsós,Agip u. 42.,Nagyváty,7940,Visa,4485913886881317,622,2/2017,12/8/1936
Uzor,Lukáts,Teréz krt. 57.,Pétfürô,8105,Visa,4929354602246606,741,12/2016,7/9/1939
Brosca,Vig,Erzsébet krt. 54.,Piliscsév,2519,MasterCard,5196682262831140,008,7/2018,7/7/1933
Aurelia,Pollák,Budaörsi út 90.,Nyírtét,4554,MasterCard,5248136864429124,162,4/2017,12/6/1941
Agoston,Puskás,Nyár utca 51.,Bagod,8992,MasterCard,5107587358411186,839,8/2019,1/30/1941
Csilla,Vagner,Erzsébet krt. 77.,Kiskunlacháza,2340,Visa,4532849670252906,501,6/2019,3/22/1953
Medárd,Kováts,Hegyalja út 27.,Vágáshuta,3992,Visa,4532880043023690,060,7/2015,10/2/1956
Piusz,Pálfy,Erzsébet tér 13.,Vámosgyörk,3291,MasterCard,5278228152574753,252,8/2016,6/10/1955
Krisztina,Mátyás,Belgrád rkp. 25.,Vát,9748,MasterCard,5308524523211768,429,1/2015,11/15/1986
Viva,Borbás,Hegedûs Gyula utca 51.,Mohora,2698,MasterCard,5454838422980444,440,10/2017,7/20/1944
Arpad,Wagner,Csavargyár u. 11.,Egervár,8913,MasterCard,5393370434814134,811,4/2017,11/12/1936
Márkó,Balogh,Síp utca 85.,Sülysáp,2242,Visa,4539497369350137,114,10/2017,1/1/1982
Ildiko,Gelencsér,Kálmán Imre u. 75.,Somogysímonyi,8737,Visa,4532314614668139,553,8/2015,4/28/1936
Antal,Kontz,Dayka Gábor u. 31.,Érsekhalma,6348,Visa,4929553954785133,105,9/2015,9/27/1943
Kat,Rátz,Dózsa György út 5.,Miskolc,3529,Visa,4929940959571529,833,8/2017,7/30/1942
Bodor,Sinka,Kossuth Lajos u. 26.,Kátoly,7661,MasterCard,5262997676268575,668,10/2015,7/23/1981
Nusa,Benczik,Piroska u. 87.,Kisherend,7763,MasterCard,5552962275238345,612,1/2018,5/18/1954
Gyuszi,Bernát,Rákóczi út 96.,Alsóörs,8226,Visa,4556887638111914,339,12/2017,3/26/1941
Katakin,Boross,Teréz krt. 6.,Pétfürô,8105,Visa,4556012329483478,255,11/2016,7/23/1931
Zoltán,Maier,Szilágyi Erzsébet fasor 47.,Juta,7431,MasterCard,5430023775717086,081,4/2015,9/11/1963
Szemere,Szöllôsy,Király u. 53.,Gátér,6111,Visa,4556458877101865,410,5/2015,7/17/1972
Bettina,Szölôsi,Erzsébet krt. 66.,Szigetújfalu,2319,MasterCard,5271082437347619,581,10/2018,10/12/1964
Bora,Gyôrffi,Kálmán Imre u. 69.,Bagola,8800,MasterCard,5158281067097860,400,10/2016,5/28/1973
Anna,Szöllösy,Nánási út 9.,Gadány,8716,MasterCard,5481775334607375,502,9/2015,2/13/1954
Rez,Szepesy,Bem rkp. 84.,Csobád,3848,MasterCard,5120926732772447,378,11/2015,5/8/1981
Gara,Elek,Agip u. 62.,Szabadszentkirály,7951,Visa,4539585378382719,268,2/2018,8/27/1949
Erzsi,Kulcsár,Rákóczi út 19.,Badacsonytomaj,8258,MasterCard,5172648691752635,495,2/2017,1/1/1986
Zsuzsi,Dávid,Szilágyi Erzsébet fasor 19.,Mezôd,7370,MasterCard,5189653777137108,431,2/2015,10/21/1987
Olivér,Novák,Tompa u. 2.,Csökmô,4145,MasterCard,5468440260356854,799,4/2018,6/20/1972
Karolina,Budai,Bécsi utca 72.,Acsalag,9168,Visa,4929687790005965,861,8/2018,4/6/1982
Lenci,Szilágyi,Szent Gellért tér 60.,Lemezgyár,3672,MasterCard,5199266189018192,516,8/2018,12/9/1951
Pisti,Kôváry,Baross tér 3.,Szikszó,3800,MasterCard,5510471075216692,457,7/2018,4/7/1931
Vencel,Földesi,Síp utca 33.,Váckisújfalu,2185,Visa,4929673692658697,766,6/2019,8/31/1993
Norbert,Biró,Bécsi utca 50.,Felpéc,9122,MasterCard,5570823081577177,881,5/2017,3/21/1961
Ivett,Szász,Dózsa György út 15.,Négyes,3463,MasterCard,5195411487515911,823,7/2019,4/10/1942
Ferike,Bogdán,Erzsébet tér 5.,Mikófalva,3344,MasterCard,5292764949427246,458,7/2019,4/8/1955
Vanessza,Szakál,Veres Pálné u. 76.,Vizesfás,5641,MasterCard,5161716918632717,719,12/2018,10/25/1989
Sandor,Orosz,Árpád fejedelem útja 22.,Budapest,1182,Visa,4485320660804921,086,3/2019,3/17/1958
Borhala,Benkö,Eötvös út 49.,Osztopán,7444,MasterCard,5270114343450483,190,5/2019,9/9/1943
Borka,Szathmáry,Tompa u. 37.,Báránd,4161,MasterCard,5273294928895273,868,5/2017,5/29/1980
Tihamér,Kuruc,Belgrád rkp. 38.,Gyanógeregye,9774,Visa,4916984217588680,195,7/2015,7/3/1954
